state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Terengganu,P.036 Kuala Terengganu,P.036,N.16 Batu Buruk,N.16,19.5,21,-1.5,-7.14
Pulau Pinang,P.048 Tanjong,P.048,N.23 Pengkalan Kota,N.23,0.9,1,-0.1,-10.0
Selangor,P.094 PJ Utara,P.094,N.26 Kampung Tunku,N.26,3.5,4,-0.5,-12.5
Kelantan,P.020 Pengkalan Chepa,P.020,N.05 Chempaka,N.05,26.1,30,-3.9,-13.0
Perak,P.062 Ipoh Barat,P.062,N.26 Buntong,N.26,5.6,7,-1.4,-20.0
Kelantan,P.020 Pengkalan Chepa,P.020,N.04 Kijang,N.04,17.9,23,-5.1,-22.17
Kedah,P.004 Langkawi,P.004,N.01 Padang Matsirat,N.01,234.2,305,-70.8,-23.21
Pulau Pinang,P.048 Tanjong,P.048,N.24 Kampong Kolam,N.24,1.5,2,-0.5,-25.0
Pulau Pinang,P.049 Jelutong,P.049,N.26 Sungai Pinang,N.26,2.2,3,-0.8,-26.67
Pahang,P.084 Temerluh,P.084,N.34 Guai,N.34,379.1,737,-357.9,-48.56
Perak,P.071 Lumut,P.071,N.44 Pangkor,N.44,139.1,284,-144.9,-51.02
